match_id,home_team,away_team,match_time,failure_reason,candidate_matches
2624,Famalicao,Boavista,2020-10-26 01:30:00+08:00,No match found in any level,Famalicao vs Boavista (Historical League); Famalicao vs Boavista (Historical League); Famalicao vs Boavista (Historical League)
2629,Vitoria de Guimaraes,Braga,2020-10-26 04:00:00+08:00,No match found in any level,Vitoria de Guimaraes vs Braga (Historical League); Vitoria de Guimaraes vs Braga (Historical League); Vitoria de Guimaraes vs Braga (Historical League)
2634,Benfica,Cova da Piedade SAD,2020-10-27 04:15:00+08:00,No match found in any level,Benfica vs Cova da Piedade SAD (Historical League); Benfica vs Cova da Piedade SAD (Historical League); Benfica vs AVS Futebol SAD (Historical League)
2636,Lokomotiv Moscow,Bayern München,2020-10-28 01:55:00+08:00,No match found in any level,Lokomotiv Moscow vs Bayern München (Historical League); Hertha BSC vs Bayern München (Historical League); Viktoria Plzen vs Bayern München (Historical League)
2639,FC Porto,Olympiacos,2020-10-28 04:00:00+08:00,No match found in any level,FC Porto vs Olympiacos (Historical League); FC Porto vs Cova da Piedade SAD (Historical League); FC Porto vs Cova da Piedade SAD (Historical League)
2646,Ferencvaros,Dynamo Kyiv,2020-10-29 04:00:00+08:00,No match found in any level,Ferencvaros vs Dynamo Kyiv (Historical League); Benfica vs Dynamo Kyiv (Historical League); Juventus vs Dynamo Kyiv (Historical League)
2651,Sporting CP,Gil Vicente,2020-10-29 05:45:00+08:00,No match found in any level,Sporting CP vs Gil Vicente (Historical League); Sporting CP vs Gil Vicente (Historical League); Sporting CP vs Gil Vicente (Historical League)
2652,Schalke 04,VfB Stuttgart,2020-10-31 03:30:00+08:00,No match found in any level,Schalke 04 vs VfB Stuttgart (Historical League); Schalke 04 vs VfB Stuttgart (Historical League); Mainz 05 vs VfB Stuttgart (Historical League)
2653,Eibar,Cadiz,2020-10-31 04:00:00+08:00,No match found in any level,Eibar vs Cadiz (Historical League); Villarreal vs Cadiz (Historical League); Villarreal vs Cadiz (Historical League)
2655,Pacos de Ferreira,FC Porto,2020-10-31 04:30:00+08:00,No match found in any level,Pacos de Ferreira vs FC Porto (Historical League); Pacos de Ferreira vs FC Porto (Historical League); Pacos de Ferreira vs FC Porto (Historical League)
2664,Cova da Piedade SAD,Farense,2020-10-31 23:30:00+08:00,No match found in any level,Cova da Piedade SAD vs Farense (Historical League); Cova da Piedade SAD vs Moreirense (Historical League); Cova da Piedade SAD vs Moreirense (Historical League)
2669,Rio Ave,Moreirense,2020-11-01 02:00:00+08:00,No match found in any level,Rio Ave vs Moreirense (Historical League); Rio Ave vs Moreirense (Historical League); Rio Ave vs Moreirense (Historical League)
2672,Maritimo,Nacional,2020-11-01 04:30:00+08:00,No match found in any level,Maritimo vs Nacional (Historical League); Famalicao vs Nacional (Historical League); Famalicao vs Nacional (Historical League)
2682,Portimonense,Santa Clara,2020-11-01 23:00:00+08:00,No match found in any level,Portimonense vs Santa Clara (Historical League); Portimonense vs Santa Clara (Historical League); Portimonense vs Santa Clara (Historical League)
2687,Granada,Levante,2020-11-02 01:30:00+08:00,No match found in any level,Granada vs Levante (Historical League); Granada vs Levante (Historical League); Granada vs Getafe (Historical League)
