feature_name,importance,feature_display_name
0,1.5545220375061035,feature_0
1,1.5434798002243042,feature_1
12,1.480699896812439,feature_12
13,1.4752905368804932,feature_13
7,1.458241581916809,feature_7
9,1.4140561819076538,feature_9
3,1.3779268264770508,feature_3
2,1.376914381980896,feature_2
10,1.3567019701004028,feature_10
4,1.3078503608703613,feature_4
11,1.2773716449737549,feature_11
8,1.2363619804382324,feature_8
5,1.1813836097717285,feature_5
6,1.1571813821792603,feature_6
