feature,importance
home_avg_possession,982.154263290513
home_avg_xg,973.6075415773138
away_avg_possession,952.5591075591446
home_avg_rating,924.0243284465353
away_avg_shots,809.7350184220833
away_avg_xg,782.4142639374571
rating_diff,771.3956780567705
away_avg_rating,761.0352379855683
form_diff,661.3241193784565
home_avg_shots,622.4534997527704
home_win_rate,598.0558426046456
away_win_rate,544.7882036539697
home_avg_goals,498.6601375084695
xg_diff,448.85544443205345
away_avg_goals,383.70719855314354
