match_date,pred_prob,odds,bet_amount,result,profit
2019-08-09 19:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-10 11:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-10 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-10 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-10 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-10 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-10 16:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-11 13:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-11 13:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-11 15:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 11:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-17 16:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-18 13:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-18 15:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-19 19:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-23 19:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-24 11:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-24 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-24 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-24 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-24 14:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-24 16:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-25 13:00:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-25 15:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
2019-08-25 15:30:00,1.0000000036274914e-15,2.499047619047619,0,NO_BET,0
