feature,importance
xg_diff,848.3944635992533
home_avg_rating,62.556778857690006
away_avg_rating,59.67238384258812
home_possession,49.73958330399728
home_xg_per_shot,49.2591404661124
away_total_shots,48.65740253458898
away_xg,45.865518737334014
away_xg_per_shot,39.69797513820777
away_big_chances_created,37.60809075157567
home_xg,25.1961325291051
home_total_shots,24.651201002083326
rating_diff,22.705380249849664
away_possession,18.97817371868223
home_big_chances_created,14.06723506566672
possession_diff,13.821761660423363
away_substitutions,11.742521334619596
home_substitutions,10.466226129880283
shots_diff,6.902064091182183
xg_total,3.7639694965097874
away_red_cards,1.0336970034986734
away_early_goal,0.39767352869967
home_early_goal,0.2785321529372595
away_penalties,0.20460284419823438
home_penalties,0.013138960028300062
home_red_cards,0.0
