match_time,home_team,away_team,result_score,predicted_result,b365_home_odds,b365_draw_odds,b365_away_odds,market_prob_h,market_prob_d,market_prob_a,model_prob_h,model_prob_d,model_prob_a,error_h,error_d,error_a,yield_per_match
2022-08-05 19:00:00,Crystal Palace,Arsenal,A,A,4.2,3.6,1.85,0.21411167512690357,0.24979695431472088,0.48609137055837565,0.23006116270091237,0.2578790157072319,0.5120598215918558,0.015949487574008797,0.008082061392510997,0.025968451033480167,0.8500000000000001
2022-08-05 19:00:00,Crystal Palace,Arsenal,A,A,5.5,4.0,1.6,0.16344086021505375,0.2247311827956989,0.5618279569892473,0.1757105943152455,0.23212747631352282,0.5921619293712317,0.012269734100191748,0.007396293517823921,0.03033397238198443,0.6000000000000001
2022-08-05 19:00:00,Crystal Palace,Arsenal,A,A,6.25,4.2,1.55,0.1456976264797691,0.21681194416632307,0.5874904293539077,0.1566677952385278,0.22399398829037878,0.6193382164710934,0.010970168758758697,0.007182044124055709,0.03184778711718572,0.55
2022-08-06 11:30:00,Fulham,Liverpool,D,A,11.0,6.0,1.25,0.08166189111747851,0.14971346704871058,0.7186246418338109,0.08780487804878048,0.1546628407460545,0.757532281205165,0.006142986931301969,0.004949373697343912,0.03890763937135411,-1.0
2022-08-06 11:30:00,Fulham,Liverpool,D,A,5.25,4.5,1.57,0.17239452899248697,0.2011269504912348,0.5764785205162781,0.18520931559448403,0.2076039060421831,0.6071867783633329,0.012814786601997058,0.0064769555509482934,0.030708257847054776,-1.0
2022-08-06 11:30:00,Fulham,Liverpool,D,A,4.5,3.5,1.83,0.20022211253701874,0.2574284304047384,0.4923494570582428,0.21523453715234536,0.2658779576587796,0.518887505188875,0.01501242461532662,0.00844952725404119,0.026538048130632264,-1.0
2022-08-06 14:00:00,AFC Bournemouth,Aston Villa,H,A,3.75,3.5,2.0,0.24072398190045247,0.25791855203619907,0.45135746606334837,0.2585551330798479,0.2661596958174905,0.4752851711026616,0.017831151179395432,0.008241143781291427,0.02392770503931324,-1.0
2022-08-06 14:00:00,AFC Bournemouth,Aston Villa,H,A,3.4,4.0,1.95,0.2643596146985372,0.22470567249375661,0.4609347128077059,0.28360198763786204,0.23160828990425403,0.48478972245788393,0.019242372939324848,0.006902617410497414,0.023855009650178005,-1.0
2022-08-06 14:00:00,AFC Bournemouth,Aston Villa,H,H,2.4,3.6,2.75,0.37410501193317425,0.24940334128878286,0.326491646778043,0.4006189002618424,0.2566055701023566,0.342775529635801,0.026513888328668134,0.007202228813573713,0.016283882857758003,1.4
2022-08-06 16:30:00,Everton,Chelsea,A,A,5.5,4.0,1.61,0.16404343745810432,0.22555972650489342,0.5603968360370022,0.17635924793337399,0.23298439861786416,0.5906563534487619,0.012315810475269667,0.007424672112970737,0.030259517411759695,0.6100000000000001
