feature,gain_score,importance_percent
meta_away_team_rating,0.10274799913167953,10.274799972975162
meta_home_team_rating,0.08656678348779678,8.656678399168179
meta_away_starting_11_avg_rating,0.07695727795362473,7.695727840157504
meta_home_starting_11_avg_rating,0.07322851568460464,7.322851611085071
meta_away_subs_count,0.03605395555496216,3.60539557648238
meta_home_GK_min_rating,0.023490924388170242,2.3490924524905417
meta_home_GK_max_rating,0.021023858338594437,2.1023858460969396
meta_home_GK_avg_rating,0.019512450322508812,1.9512450436086224
meta_away_GK_avg_rating,0.017824990674853325,1.7824990778608427
meta_away_market_value,0.01717226393520832,1.717226403516405
meta_away_bench_strength_avg_rating,0.01714433915913105,1.7144339258924237
meta_away_FW_max_rating,0.016897061839699745,1.689706193805359
meta_stadium_capacity,0.016103899106383324,1.6103899200120355
meta_home_team_id,0.015872174873948097,1.5872174966336317
meta_away_unavailable_count,0.015791283920407295,1.5791284012324664
meta_home_FW_max_rating,0.015452982857823372,1.5452982947771572
meta_away_DF_avg_rating,0.015406236983835697,1.54062370735118
meta_home_DF_count,0.014759489335119724,1.475948942103126
meta_home_bench_strength_avg_rating,0.014363132417201996,1.436313250080643
meta_wind_speed,0.014227892272174358,1.4227892354991591
meta_home_DF_max_rating,0.013604924082756042,1.3604924161947123
meta_away_GK_max_rating,0.013580042868852615,1.358004294789887
meta_home_FW_avg_rating,0.013241086155176163,1.3241086232249428
meta_home_FW_min_rating,0.012651577591896057,1.2651577665537932
meta_home_coach_id,0.012269986793398857,1.226998686481958
meta_home_market_value,0.01225858461111784,1.2258584682472196
meta_home_MF_min_rating,0.01158355176448822,1.1583551831913366
meta_stadium_long,0.011548785492777824,1.1548785560000603
meta_away_avg_age,0.01145174540579319,1.145174547245112
meta_home_DF_avg_rating,0.011412967927753925,1.1412967994186143
meta_home_avg_age,0.01129920780658722,1.1299207872357264
meta_home_MF_count,0.011249026283621788,1.124902634909974
meta_home_MF_max_rating,0.011061504483222961,1.106150454760939
meta_away_DF_max_rating,0.010509728454053402,1.0509728515228074
meta_attendance,0.01045098714530468,1.0450987206137432
meta_away_FW_avg_rating,0.010277392342686653,1.027739240250895
meta_away_DF_min_rating,0.010085370391607285,1.0085370450311868
meta_away_team_id,0.009994885884225368,0.9994885942403262
meta_stadium_lat,0.009935793466866016,0.9935793524699946
meta_home_FW_count,0.009708848781883717,0.9708848838396655
meta_humidity,0.009655370377004147,0.9655370433205799
meta_home_DF_min_rating,0.009626233950257301,0.9626234006289357
meta_tournament_round,0.009549751877784729,0.9549751933371601
meta_away_MF_avg_rating,0.00938384234905243,0.938384240367358
meta_away_MF_max_rating,0.008883715607225895,0.8883715658935926
meta_away_MF_min_rating,0.008757603354752064,0.8757603405728025
meta_tournament_round_name,0.008579599671065807,0.8579599721005651
meta_away_GK_min_rating,0.008539717644453049,0.8539717694160749
meta_temperature,0.008355431258678436,0.8355431307313447
meta_home_MF_avg_rating,0.008352971635758877,0.8352971684379571
meta_away_FW_min_rating,0.008093406446278095,0.8093406493387921
meta_away_MF_count,0.007831981405615807,0.7831981451203939
meta_cloud_cover,0.007616237737238407,0.7616237781570746
meta_home_unavailable_count,0.006930610164999962,0.6930610205341423
meta_away_coach_id,0.006435316521674395,0.6435316559132866
meta_away_DF_count,0.006253495346754789,0.6253495383154923
meta_weather_icon_code,0.006086433306336403,0.6086433341764108
meta_away_FW_count,0.002294765552505851,0.22947655658631444
