match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
4506263,47,Premier League,2425,Manchester United,Fulham,,2025-12-24T10:12:43.372052
4506264,47,Premier League,2425,Ipswich Town,Liverpool,,2025-12-24T10:12:43.372052
4506265,47,Premier League,2425,Arsenal,Wolverhampton Wanderers,,2025-12-24T10:12:43.372052
4506266,47,Premier League,2425,Everton,Brighton & Hove Albion,,2025-12-24T10:12:43.372052
4506267,47,Premier League,2425,Newcastle United,Southampton,,2025-12-24T10:12:43.372052
4506268,47,Premier League,2425,Nottingham Forest,AFC Bournemouth,,2025-12-24T10:12:43.372052
4506269,47,Premier League,2425,West Ham United,Aston Villa,,2025-12-24T10:12:43.372052
4506270,47,Premier League,2425,Brentford,Crystal Palace,,2025-12-24T10:12:43.372052
4506271,47,Premier League,2425,Chelsea,Manchester City,,2025-12-24T10:12:43.372052
4506272,47,Premier League,2425,Leicester City,Tottenham Hotspur,,2025-12-24T10:12:43.372052
4506275,47,Premier League,2425,Brighton & Hove Albion,Manchester United,,2025-12-24T10:12:43.372052
4506276,47,Premier League,2425,Crystal Palace,West Ham United,,2025-12-24T10:12:43.372052
4506277,47,Premier League,2425,Fulham,Leicester City,,2025-12-24T10:12:43.372052
4506279,47,Premier League,2425,Manchester City,Ipswich Town,,2025-12-24T10:12:43.372052
4506280,47,Premier League,2425,Southampton,Nottingham Forest,,2025-12-24T10:12:43.372052
4506281,47,Premier League,2425,Tottenham Hotspur,Everton,,2025-12-24T10:12:43.372052
4506274,47,Premier League,2425,Aston Villa,Arsenal,,2025-12-24T10:12:43.372052
4506273,47,Premier League,2425,AFC Bournemouth,Newcastle United,,2025-12-24T10:12:43.372052
4506282,47,Premier League,2425,Wolverhampton Wanderers,Chelsea,,2025-12-24T10:12:43.372052
4506278,47,Premier League,2425,Liverpool,Brentford,,2025-12-24T10:12:43.372052
4506283,47,Premier League,2425,Arsenal,Brighton & Hove Albion,,2025-12-24T10:12:43.372052
4506284,47,Premier League,2425,Brentford,Southampton,,2025-12-24T10:12:43.372052
4506286,47,Premier League,2425,Everton,AFC Bournemouth,,2025-12-24T10:12:43.372052
4506287,47,Premier League,2425,Ipswich Town,Fulham,,2025-12-24T10:12:43.372052
4506288,47,Premier League,2425,Leicester City,Aston Villa,,2025-12-24T10:12:43.372052
4506291,47,Premier League,2425,Nottingham Forest,Wolverhampton Wanderers,,2025-12-24T10:12:43.372052
4506292,47,Premier League,2425,West Ham United,Manchester City,,2025-12-24T10:12:43.372052
4506285,47,Premier League,2425,Chelsea,Crystal Palace,,2025-12-24T10:12:43.372052
4506290,47,Premier League,2425,Newcastle United,Tottenham Hotspur,,2025-12-24T10:12:43.372052
4506289,47,Premier League,2425,Manchester United,Liverpool,,2025-12-24T10:12:43.372052
4506300,47,Premier League,2425,Southampton,Manchester United,,2025-12-24T10:12:43.372052
4506295,47,Premier League,2425,Brighton & Hove Albion,Ipswich Town,,2025-12-24T10:12:43.372052
4506296,47,Premier League,2425,Crystal Palace,Leicester City,,2025-12-24T10:12:43.372052
4506297,47,Premier League,2425,Fulham,West Ham United,,2025-12-24T10:12:43.372052
4506298,47,Premier League,2425,Liverpool,Nottingham Forest,,2025-12-24T10:12:43.372052
4506299,47,Premier League,2425,Manchester City,Brentford,,2025-12-24T10:12:43.372052
4506294,47,Premier League,2425,Aston Villa,Everton,,2025-12-24T10:12:43.372052
4506293,47,Premier League,2425,AFC Bournemouth,Chelsea,,2025-12-24T10:12:43.372052
