match_id,league_id,league_name,season_id,is_matched,collection_date
4514116,53,Ligue 1,2425,True,
4514113,53,Ligue 1,2425,True,
4514118,53,Ligue 1,2425,True,
4514114,53,Ligue 1,2425,True,
4514115,53,Ligue 1,2425,True,
4514110,53,Ligue 1,2425,True,
4514117,53,Ligue 1,2425,True,
4513835,53,Ligue 1,2425,True,
4513832,53,Ligue 1,2425,True,
4513831,53,Ligue 1,2425,True,
4513838,53,Ligue 1,2425,True,
4513833,53,Ligue 1,2425,True,
4513834,53,Ligue 1,2425,True,
4513837,53,Ligue 1,2425,True,
4513836,53,Ligue 1,2425,True,
4513830,53,Ligue 1,2425,True,
4513843,53,Ligue 1,2425,True,
4513840,53,Ligue 1,2425,True,
4513839,53,Ligue 1,2425,True,
4513845,53,Ligue 1,2425,True,
4513842,53,Ligue 1,2425,True,
4513844,53,Ligue 1,2425,True,
4513847,53,Ligue 1,2425,True,
4513841,53,Ligue 1,2425,True,
4513846,53,Ligue 1,2425,True,
4513850,53,Ligue 1,2425,True,
4513849,53,Ligue 1,2425,True,
4513856,53,Ligue 1,2425,True,
4513851,53,Ligue 1,2425,True,
4513854,53,Ligue 1,2425,True,
4513853,53,Ligue 1,2425,True,
4513852,53,Ligue 1,2425,True,
4513855,53,Ligue 1,2425,True,
4513848,53,Ligue 1,2425,True,
4513858,53,Ligue 1,2425,True,
4513862,53,Ligue 1,2425,True,
4513865,53,Ligue 1,2425,True,
4513860,53,Ligue 1,2425,True,
4513861,53,Ligue 1,2425,True,
4513863,53,Ligue 1,2425,True,
4513857,53,Ligue 1,2425,True,
4513859,53,Ligue 1,2425,True,
4513864,53,Ligue 1,2425,True,
4513917,53,Ligue 1,2425,True,
4513914,53,Ligue 1,2425,True,
4513921,53,Ligue 1,2425,True,
4513913,53,Ligue 1,2425,True,
4513915,53,Ligue 1,2425,True,
4513920,53,Ligue 1,2425,True,
4513916,53,Ligue 1,2425,True,
4513919,53,Ligue 1,2425,True,
4513918,53,Ligue 1,2425,True,
4513922,53,Ligue 1,2425,True,
4513924,53,Ligue 1,2425,True,
4513927,53,Ligue 1,2425,True,
4513928,53,Ligue 1,2425,True,
4513926,53,Ligue 1,2425,True,
4513923,53,Ligue 1,2425,True,
4513929,53,Ligue 1,2425,True,
4513925,53,Ligue 1,2425,True,
4513930,53,Ligue 1,2425,True,
4513938,53,Ligue 1,2425,True,
4513935,53,Ligue 1,2425,True,
4513936,53,Ligue 1,2425,True,
4513931,53,Ligue 1,2425,True,
4513933,53,Ligue 1,2425,True,
4513939,53,Ligue 1,2425,True,
4513937,53,Ligue 1,2425,True,
4513934,53,Ligue 1,2425,True,
4513932,53,Ligue 1,2425,True,
4513943,53,Ligue 1,2425,True,
4513947,53,Ligue 1,2425,True,
4513946,53,Ligue 1,2425,True,
4513948,53,Ligue 1,2425,True,
4513945,53,Ligue 1,2425,True,
4513940,53,Ligue 1,2425,True,
4513942,53,Ligue 1,2425,True,
4513941,53,Ligue 1,2425,True,
4513944,53,Ligue 1,2425,True,
4514029,53,Ligue 1,2425,True,
4514035,53,Ligue 1,2425,True,
4514036,53,Ligue 1,2425,True,
4514033,53,Ligue 1,2425,True,
4514032,53,Ligue 1,2425,True,
4514031,53,Ligue 1,2425,True,
4514030,53,Ligue 1,2425,True,
4514034,53,Ligue 1,2425,True,
4514028,53,Ligue 1,2425,True,
4514040,53,Ligue 1,2425,True,
4514043,53,Ligue 1,2425,True,
4514042,53,Ligue 1,2425,True,
4514045,53,Ligue 1,2425,True,
4514041,53,Ligue 1,2425,True,
4514037,53,Ligue 1,2425,True,
4514038,53,Ligue 1,2425,True,
4514039,53,Ligue 1,2425,True,
4514044,53,Ligue 1,2425,True,
4514047,53,Ligue 1,2425,True,
4514052,53,Ligue 1,2425,True,
4514048,53,Ligue 1,2425,True,
4514050,53,Ligue 1,2425,True,
4514051,53,Ligue 1,2425,True,
4514049,53,Ligue 1,2425,True,
4514053,53,Ligue 1,2425,True,
4514054,53,Ligue 1,2425,True,
4514046,53,Ligue 1,2425,True,
4514062,53,Ligue 1,2425,True,
4514063,53,Ligue 1,2425,True,
4514055,53,Ligue 1,2425,True,
4514059,53,Ligue 1,2425,True,
4514060,53,Ligue 1,2425,True,
4514061,53,Ligue 1,2425,True,
4514056,53,Ligue 1,2425,True,
4514057,53,Ligue 1,2425,True,
4514127,53,Ligue 1,2425,True,
4514123,53,Ligue 1,2425,True,
4514126,53,Ligue 1,2425,True,
4514124,53,Ligue 1,2425,True,
4514122,53,Ligue 1,2425,True,
4514121,53,Ligue 1,2425,True,
4514120,53,Ligue 1,2425,True,
4514125,53,Ligue 1,2425,True,
4514119,53,Ligue 1,2425,True,
4514058,53,Ligue 1,2425,True,
4514134,53,Ligue 1,2425,True,
4514129,53,Ligue 1,2425,True,
4514128,53,Ligue 1,2425,True,
4514136,53,Ligue 1,2425,True,
4514133,53,Ligue 1,2425,True,
4514132,53,Ligue 1,2425,True,
4514131,53,Ligue 1,2425,True,
4514130,53,Ligue 1,2425,True,
4514135,53,Ligue 1,2425,True,
4514139,53,Ligue 1,2425,True,
4514144,53,Ligue 1,2425,True,
4514143,53,Ligue 1,2425,True,
4514141,53,Ligue 1,2425,True,
4514142,53,Ligue 1,2425,True,
4514145,53,Ligue 1,2425,True,
4514140,53,Ligue 1,2425,True,
4514137,53,Ligue 1,2425,True,
