match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
3609929,47,Premier League,2122,Brentford,Arsenal,,2025-12-24T10:12:39.166072
3609934,47,Premier League,2122,Manchester United,Leeds United,,2025-12-24T10:12:39.166072
3609930,47,Premier League,2122,Burnley,Brighton & Hove Albion,,2025-12-24T10:12:39.166072
3609931,47,Premier League,2122,Chelsea,Crystal Palace,,2025-12-24T10:12:39.166072
3609932,47,Premier League,2122,Everton,Southampton,,2025-12-24T10:12:39.166072
3609933,47,Premier League,2122,Leicester City,Wolverhampton Wanderers,,2025-12-24T10:12:39.166072
3609938,47,Premier League,2122,Watford,Aston Villa,,2025-12-24T10:12:39.166072
3609936,47,Premier League,2122,Norwich City,Liverpool,,2025-12-24T10:12:39.166072
3609935,47,Premier League,2122,Newcastle United,West Ham United,,2025-12-24T10:12:39.166072
3609937,47,Premier League,2122,Tottenham Hotspur,Manchester City,,2025-12-24T10:12:39.166072
3609944,47,Premier League,2122,Liverpool,Burnley,,2025-12-24T10:12:39.166072
3609940,47,Premier League,2122,Aston Villa,Newcastle United,,2025-12-24T10:12:39.166072
3609942,47,Premier League,2122,Crystal Palace,Brentford,,2025-12-24T10:12:39.166072
3609943,47,Premier League,2122,Leeds United,Everton,,2025-12-24T10:12:39.166072
3609945,47,Premier League,2122,Manchester City,Norwich City,,2025-12-24T10:12:39.166072
3609941,47,Premier League,2122,Brighton & Hove Albion,Watford,,2025-12-24T10:12:39.166072
3609946,47,Premier League,2122,Southampton,Manchester United,,2025-12-24T10:12:39.166072
3609948,47,Premier League,2122,Wolverhampton Wanderers,Tottenham Hotspur,,2025-12-24T10:12:39.166072
3609939,47,Premier League,2122,Arsenal,Chelsea,,2025-12-24T10:12:39.166072
3609947,47,Premier League,2122,West Ham United,Leicester City,,2025-12-24T10:12:39.166072
3609953,47,Premier League,2122,Manchester City,Arsenal,,2025-12-24T10:12:39.166072
3609949,47,Premier League,2122,Aston Villa,Brentford,,2025-12-24T10:12:39.166072
3609950,47,Premier League,2122,Brighton & Hove Albion,Everton,,2025-12-24T10:12:39.166072
3609954,47,Premier League,2122,Newcastle United,Southampton,,2025-12-24T10:12:39.166072
3609955,47,Premier League,2122,Norwich City,Leicester City,,2025-12-24T10:12:39.166072
3609957,47,Premier League,2122,West Ham United,Crystal Palace,,2025-12-24T10:12:39.166072
3609952,47,Premier League,2122,Liverpool,Chelsea,,2025-12-24T10:12:39.166072
3609951,47,Premier League,2122,Burnley,Leeds United,,2025-12-24T10:12:39.166072
3609956,47,Premier League,2122,Tottenham Hotspur,Watford,,2025-12-24T10:12:39.166072
3609958,47,Premier League,2122,Wolverhampton Wanderers,Manchester United,,2025-12-24T10:12:39.166072
3609962,47,Premier League,2122,Crystal Palace,Tottenham Hotspur,,2025-12-24T10:12:39.166072
3609959,47,Premier League,2122,Arsenal,Norwich City,,2025-12-24T10:12:39.166072
3609960,47,Premier League,2122,Brentford,Brighton & Hove Albion,,2025-12-24T10:12:39.166072
3609965,47,Premier League,2122,Leicester City,Manchester City,,2025-12-24T10:12:39.166072
3609966,47,Premier League,2122,Manchester United,Newcastle United,,2025-12-24T10:12:39.166072
