match_id,home_team,away_team,match_time,result_score,prediction,prediction_code,confidence,probability_home,probability_draw,probability_away,estimated_yield,price_status,is_correct
348,Chelsea,Tottenham Hotspur,2024-05-02 18:30:00,H,H,2,0.4181205928325653,0.4181205928325653,0.403717964887619,0.1781613975763321,1.9910485,[Price_Normal],True
349,Luton Town,Everton,2024-05-03 19:00:00,D,D,1,0.44952669739723206,0.314205139875412,0.44952669739723206,0.23626819252967834,2.1405995,[Price_Normal],True
350,Arsenal,AFC Bournemouth,2024-05-04 11:30:00,H,H,2,0.7116114497184753,0.7116114497184753,0.18064072728157043,0.1077478677034378,3.3886254,[Price_Normal],True
353,Sheffield United,Nottingham Forest,2024-05-04 14:00:00,A,H,2,0.44250327348709106,0.44250327348709106,0.36496853828430176,0.1925281584262848,2.1071582,[Price_Normal],False
351,Brentford,Fulham,2024-05-04 14:00:00,D,D,1,0.44082388281822205,0.2790733873844147,0.44082388281822205,0.2801027297973633,2.0991564,[Price_Normal],True
352,Burnley,Newcastle United,2024-05-04 14:00:00,A,A,0,0.5263137221336365,0.18513137102127075,0.28855493664741516,0.5263137221336365,2.506256,[Price_Normal],True
354,Manchester City,Wolverhampton Wanderers,2024-05-04 16:30:00,H,H,2,0.7095556855201721,0.7095556855201721,0.1822437196969986,0.10820058733224869,3.3788323,[Price_Normal],True
355,Brighton & Hove Albion,Aston Villa,2024-05-05 13:00:00,H,H,2,0.6945842504501343,0.6945842504501343,0.19456999003887177,0.11084572225809097,3.3075452,[Price_Normal],True
356,Chelsea,West Ham United,2024-05-05 13:00:00,H,H,2,0.5374388098716736,0.5374388098716736,0.3101823925971985,0.15237882733345032,2.5592268,[Price_Normal],True
357,Liverpool,Tottenham Hotspur,2024-05-05 15:30:00,H,H,2,0.5426378846168518,0.5426378846168518,0.2665210962295532,0.19084104895591736,2.5839865,[Price_Normal],True
358,Crystal Palace,Manchester United,2024-05-06 19:00:00,H,H,2,0.6228306889533997,0.6228306889533997,0.24262697994709015,0.1345423310995102,2.9658556,[Price_Normal],True
359,Fulham,Manchester City,2024-05-11 11:30:00,A,A,0,0.5832898020744324,0.15797460079193115,0.2587355673313141,0.5832898020744324,2.7775705,[Price_Normal],True
361,Everton,Sheffield United,2024-05-11 14:00:00,H,H,2,0.6154428720474243,0.6154428720474243,0.2717078626155853,0.11284928768873215,2.930677,[Price_Normal],True
362,Newcastle United,Brighton & Hove Albion,2024-05-11 14:00:00,D,H,2,0.42503422498703003,0.42503422498703003,0.3846703767776489,0.19029544293880463,2.023971,[Price_Normal],False
363,Tottenham Hotspur,Burnley,2024-05-11 14:00:00,H,H,2,0.6396028995513916,0.6396028995513916,0.23279954493045807,0.1275976002216339,3.0457258,[Price_Normal],True
364,West Ham United,Luton Town,2024-05-11 14:00:00,H,H,2,0.7033183574676514,0.7033183574676514,0.18604473769664764,0.11063692718744278,3.3491373,[Price_Normal],True
360,AFC Bournemouth,Brentford,2024-05-11 14:00:00,A,D,1,0.4486764669418335,0.265525758266449,0.4486764669418335,0.28579777479171753,2.1365523,[Price_Normal],False
365,Wolverhampton Wanderers,Crystal Palace,2024-05-11 14:00:00,A,D,1,0.3676714301109314,0.3356381356716156,0.3676714301109314,0.296690434217453,1.7508149,[Price_Normal],False
366,Nottingham Forest,Chelsea,2024-05-11 16:30:00,A,D,1,0.44385814666748047,0.3007759153842926,0.44385814666748047,0.25536590814590454,2.1136105,[Price_Normal],False
367,Manchester United,Arsenal,2024-05-12 15:30:00,A,A,0,0.41883665323257446,0.207590714097023,0.37357258796691895,0.41883665323257446,1.9944578,[Price_Normal],True
368,Aston Villa,Liverpool,2024-05-13 19:00:00,D,D,1,0.37560275197029114,0.37355977296829224,0.37560275197029114,0.25083744525909424,1.7885864,[Price_Normal],True
369,Tottenham Hotspur,Manchester City,2024-05-14 19:00:00,A,D,1,0.41626739501953125,0.24909819662570953,0.41626739501953125,0.3346344232559204,1.982224,[Price_Normal],False
370,Brighton & Hove Albion,Chelsea,2024-05-15 18:45:00,A,A,0,0.4001399576663971,0.22473345696926117,0.37512660026550293,0.4001399576663971,1.9054264,[Price_Normal],True
371,Manchester United,Newcastle United,2024-05-15 19:00:00,H,D,1,0.360257089138031,0.2826170325279236,0.360257089138031,0.357125848531723,1.7155081,[Price_Normal],False
376,Chelsea,AFC Bournemouth,2024-05-19 15:00:00,H,D,1,0.4223814904689789,0.2509457468986511,0.4223814904689789,0.32667276263237,2.0113378,[Price_Normal],False
