match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
4221782,54,Bundesliga,2324,Augsburg,Darmstadt,,2025-12-24T10:12:54.761730
4221776,54,Bundesliga,2324,Borussia Dortmund,Union Berlin,,2025-12-24T10:12:54.761730
4221777,54,Bundesliga,2324,RB Leipzig,Bochum,,2025-12-24T10:12:54.761730
4221783,54,Bundesliga,2324,VfB Stuttgart,Wolfsburg,,2025-12-24T10:12:54.761730
4221781,54,Bundesliga,2324,Werder Bremen,Hoffenheim,,2025-12-24T10:12:54.761730
4221778,54,Bundesliga,2324,Bayer Leverkusen,1. FC Köln,,2025-12-24T10:12:54.761730
4221775,54,Bundesliga,2324,Bayern München,Freiburg,,2025-12-24T10:12:54.761730
4221779,54,Bundesliga,2324,Eintracht Frankfurt,FC Heidenheim,,2025-12-24T10:12:54.761730
4221784,54,Bundesliga,2324,Borussia Dortmund,Werder Bremen,,2025-12-24T10:12:54.761730
4221792,54,Bundesliga,2324,Darmstadt,RB Leipzig,,2025-12-24T10:12:54.761730
4221786,54,Bundesliga,2324,Freiburg,Bochum,,2025-12-24T10:12:54.761730
4221790,54,Bundesliga,2324,Hoffenheim,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221785,54,Bundesliga,2324,Union Berlin,VfB Stuttgart,,2025-12-24T10:12:54.761730
4221787,54,Bundesliga,2324,Wolfsburg,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221788,54,Bundesliga,2324,Mainz 05,Bayern München,,2025-12-24T10:12:54.761730
4221789,54,Bundesliga,2324,1. FC Köln,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221791,54,Bundesliga,2324,FC Heidenheim,Augsburg,,2025-12-24T10:12:54.761730
4221802,54,Bundesliga,2324,Bochum,Mainz 05,,2025-12-24T10:12:54.761730
4221803,54,Bundesliga,2324,Augsburg,Wolfsburg,,2025-12-24T10:12:54.761730
4221796,54,Bundesliga,2324,Bayern München,Darmstadt,,2025-12-24T10:12:54.761730
4221800,54,Bundesliga,2324,Borussia Mönchengladbach,FC Heidenheim,,2025-12-24T10:12:54.761730
4221804,54,Bundesliga,2324,VfB Stuttgart,Hoffenheim,,2025-12-24T10:12:54.761730
4221801,54,Bundesliga,2324,Werder Bremen,Union Berlin,,2025-12-24T10:12:54.761730
4221797,54,Bundesliga,2324,RB Leipzig,1. FC Köln,,2025-12-24T10:12:54.761730
