match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
3903543,54,Bundesliga,2223,Eintracht Frankfurt,Bayern München,,2025-12-24T10:12:53.420630
3903550,54,Bundesliga,2223,Augsburg,Freiburg,,2025-12-24T10:12:53.420630
3903549,54,Bundesliga,2223,Bochum,Mainz 05,,2025-12-24T10:12:53.420630
3903547,54,Bundesliga,2223,Borussia Mönchengladbach,Hoffenheim,,2025-12-24T10:12:53.420630
3903545,54,Bundesliga,2223,Union Berlin,Hertha BSC,,2025-12-24T10:12:53.420630
3903548,54,Bundesliga,2223,Wolfsburg,Werder Bremen,,2025-12-24T10:12:53.420630
3903544,54,Bundesliga,2223,Borussia Dortmund,Bayer Leverkusen,,2025-12-24T10:12:53.420630
3903551,54,Bundesliga,2223,VfB Stuttgart,RB Leipzig,,2025-12-24T10:12:53.420630
3903546,54,Bundesliga,2223,1. FC Köln,Schalke 04,,2025-12-24T10:12:53.420630
3903555,54,Bundesliga,2223,Freiburg,Borussia Dortmund,,2025-12-24T10:12:53.420630
3903553,54,Bundesliga,2223,Bayer Leverkusen,Augsburg,,2025-12-24T10:12:53.420630
3903558,54,Bundesliga,2223,Hertha BSC,Eintracht Frankfurt,,2025-12-24T10:12:53.420630
3903557,54,Bundesliga,2223,Hoffenheim,Bochum,,2025-12-24T10:12:53.420630
3903554,54,Bundesliga,2223,RB Leipzig,1. FC Köln,,2025-12-24T10:12:53.420630
3903560,54,Bundesliga,2223,Werder Bremen,VfB Stuttgart,,2025-12-24T10:12:53.420630
3903559,54,Bundesliga,2223,Schalke 04,Borussia Mönchengladbach,,2025-12-24T10:12:53.420630
3903556,54,Bundesliga,2223,Mainz 05,Union Berlin,,2025-12-24T10:12:53.420630
3903552,54,Bundesliga,2223,Bayern München,Wolfsburg,,2025-12-24T10:12:53.420630
3903565,54,Bundesliga,2223,Borussia Mönchengladbach,Hertha BSC,,2025-12-24T10:12:53.420630
3903569,54,Bundesliga,2223,Augsburg,Mainz 05,,2025-12-24T10:12:53.420630
3903563,54,Bundesliga,2223,Bayer Leverkusen,Hoffenheim,,2025-12-24T10:12:53.420630
3903562,54,Bundesliga,2223,Borussia Dortmund,Werder Bremen,,2025-12-24T10:12:53.420630
3903570,54,Bundesliga,2223,VfB Stuttgart,Freiburg,,2025-12-24T10:12:53.420630
3903567,54,Bundesliga,2223,Wolfsburg,Schalke 04,,2025-12-24T10:12:53.420630
3903564,54,Bundesliga,2223,Union Berlin,RB Leipzig,,2025-12-24T10:12:53.420630
3903566,54,Bundesliga,2223,Eintracht Frankfurt,1. FC Köln,,2025-12-24T10:12:53.420630
3903568,54,Bundesliga,2223,Bochum,Bayern München,,2025-12-24T10:12:53.420630
3903573,54,Bundesliga,2223,Freiburg,Bochum,,2025-12-24T10:12:53.420630
3903577,54,Bundesliga,2223,Hertha BSC,Borussia Dortmund,,2025-12-24T10:12:53.420630
3903576,54,Bundesliga,2223,Hoffenheim,Augsburg,,2025-12-24T10:12:53.420630
3903575,54,Bundesliga,2223,Mainz 05,Bayer Leverkusen,,2025-12-24T10:12:53.420630
3903572,54,Bundesliga,2223,RB Leipzig,Wolfsburg,,2025-12-24T10:12:53.420630
3903578,54,Bundesliga,2223,Schalke 04,Union Berlin,,2025-12-24T10:12:53.420630
3903571,54,Bundesliga,2223,Bayern München,Borussia Mönchengladbach,,2025-12-24T10:12:53.420630
