feature,importance
xg_diff,198.92321168515008
home_avg_rating,36.83883282639961
away_xg,32.15971461347704
shots_diff,29.886532702367976
away_big_chances_created,25.268762974015747
home_possession,18.857583529098005
away_total_shots,15.340000881219199
away_possession,11.97902321600098
home_total_shots,7.948455509235451
away_avg_rating,6.856981362978132
home_xg,5.459920630679361
home_substitutions,4.115282177645795
home_big_chances_created,3.9954110459401795
rating_diff,3.723089471182505
away_xg_per_shot,2.06236548543391
possession_diff,1.4466930031776428
away_substitutions,0.39739724523208436
home_early_goal,0.034572843220589435
home_xg_per_shot,0.0015585934782958617
home_red_cards,0.001379501016344875
xg_total,3.8831779876565367e-05
home_penalties,0.0
away_early_goal,0.0
away_red_cards,0.0
away_penalties,0.0
