         3790170 function calls (3683532 primitive calls) in 2.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 create.py:1(<module>)
     1878    0.001    0.000    0.001    0.000 _typing_extra.py:80(is_callable)
      126    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.001    0.001 http11.py:1(<module>)
      411    0.001    0.000    0.001    0.000 compat.py:66(inspect_getfullargspec)
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
      325    0.000    0.000    0.001    0.000 enum.py:943(_get_mixins_)
        1    0.000    0.000    0.001    0.001 attr.py:1(<module>)
     2083    0.001    0.000    0.001    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.001    0.001 groupby.py:1(<module>)
     1155    0.001    0.000    0.001    0.000 inspect.py:735(unwrap)
        1    0.000    0.000    0.001    0.001 _header_value_parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traversals.py:1(<module>)
        2    0.000    0.000    0.001    0.001 di.py:1(<module>)
        1    0.000    0.000    0.001    0.001 configparser.py:1(<module>)
      112    0.000    0.000    0.001    0.000 decl_base.py:684(_cls_attr_resolver)
        1    0.000    0.000    0.001    0.001 model_version_deployment_job_state.py:1(<module>)
      517    0.001    0.000    0.001    0.000 visitors.py:104(__init_subclass__)
        1    0.000    0.000    0.001    0.001 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _csr.py:1(<module>)
      500    0.001    0.000    0.001    0.000 langhelpers.py:1299(__getattr__)
    13346    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
       15    0.000    0.000    0.001    0.000 parser.py:7(make_regex)
     1220    0.001    0.000    0.001    0.000 _config.py:201(<dictcomp>)
        1    0.000    0.000    0.001    0.001 event_application.py:132(get_event_application)
        1    0.000    0.000    0.001    0.001 event_application.py:26(__init__)
        1    0.000    0.000    0.001    0.001 hdrs.py:1(<module>)
      105    0.000    0.000    0.001    0.000 docscrape.py:205(_read_to_next_section)
      280    0.001    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      210    0.001    0.000    0.001    0.000 _namespace_utils.py:232(types_namespace)
      212    0.000    0.000    0.001    0.000 attributes.py:2636(register_descriptor)
        8    0.000    0.000    0.001    0.000 _adapters.py:49(<listcomp>)
     4698    0.001    0.000    0.001    0.000 __init__.py:133(valid)
      324    0.001    0.000    0.001    0.000 docscrape.py:174(_is_at_section)
      343    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.001    0.001 constructor.py:171(SafeConstructor)
       16    0.001    0.000    0.001    0.000 rest_utils.py:491(extract_api_info_for_service)
        2    0.000    0.000    0.001    0.001 impl.py:1(<module>)
      238    0.001    0.000    0.001    0.000 inspect.py:863(cleandoc)
      608    0.000    0.000    0.001    0.000 __init__.py:208(findall)
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
       84    0.000    0.000    0.001    0.000 base.py:402(_listen)
     5007    0.001    0.000    0.001    0.000 _parser.py:293(tell)
        2    0.000    0.000    0.001    0.001 pickle.py:1(<module>)
        1    0.000    0.000    0.001    0.001 enablement.py:1(<module>)
        1    0.000    0.000    0.001    0.001 basereload.py:1(<module>)
        1    0.000    0.000    0.001    0.001 langhelpers.py:1(<module>)
       64    0.000    0.000    0.001    0.000 sources.py:761(prepare_field_value)
     1226    0.001    0.000    0.001    0.000 _config.py:92(__init__)
      425    0.000    0.000    0.001    0.000 routing.py:89(request_response)
        3    0.000    0.000    0.001    0.000 context.py:1(<module>)
     1216    0.001    0.000    0.001    0.000 models.py:36(__post_init__)
     1013    0.000    0.000    0.001    0.000 core_schema.py:2565(nullable_schema)
      148    0.000    0.000    0.001    0.000 _config.py:98(for_model)
        1    0.000    0.000    0.001    0.001 array_manager.py:1(<module>)
      226    0.000    0.000    0.001    0.000 docscrape.py:84(read_to_next_empty_line)
      614    0.000    0.000    0.001    0.000 _adapters.py:43(redent)
      494    0.001    0.000    0.001    0.000 main.py:134(get_annotation_from_field_info)
        2    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
      215    0.001    0.000    0.001    0.000 attr.py:210(update_subclass)
        1    0.000    0.000    0.001    0.001 staggered.py:1(<module>)
     3756    0.001    0.000    0.001    0.000 functools.py:65(wraps)
  332/325    0.001    0.000    0.001    0.000 _decorators.py:309(mro)
        1    0.000    0.000    0.001    0.001 traceback.py:182(format_exc)
     1819    0.001    0.000    0.001    0.000 _typing_extra.py:67(is_hashable)
        1    0.000    0.000    0.001    0.001 naming.py:1(<module>)
     2855    0.001    0.000    0.001    0.000 pathlib.py:515(_from_parsed_parts)
        1    0.000    0.000    0.001    0.001 traceback.py:128(format_exception)
        1    0.000    0.000    0.001    0.001 databricks_artifact_repo_resources.py:1(<module>)
        2    0.000    0.000    0.001    0.001 factory.py:1(<module>)
        1    0.000    0.000    0.001    0.001 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 models.py:130(Schema)
        1    0.000    0.000    0.001    0.001 metrics_core.py:1(<module>)
       37    0.000    0.000    0.001    0.000 _make.py:379(_transform_attrs)
        2    0.000    0.000    0.001    0.001 responses.py:1(<module>)
        2    0.000    0.000    0.001    0.001 sql.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tzpath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 docscrape.py:118(NumpyDocString)
        1    0.000    0.000    0.001    0.001 httptools_impl.py:40(<dictcomp>)
        1    0.000    0.000    0.001    0.001 ranges.py:1(<module>)
     1818    0.001    0.000    0.001    0.000 _typing_extra.py:143(is_finalvar)
        9    0.001    0.000    0.001    0.000 langhelpers.py:2144(inject_param_text)
      296    0.000    0.000    0.001    0.000 inspect.py:1804(getattr_static)
        1    0.000    0.000    0.001    0.001 hstore.py:1(<module>)
      892    0.001    0.000    0.001    0.000 type_adapter.py:44(_getattr_no_parents)
       44    0.000    0.000    0.001    0.000 inspect.py:3215(__str__)
       36    0.001    0.000    0.001    0.000 _make.py:849(_create_slots_class)
        1    0.000    0.000    0.001    0.001 dataset_record.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _subprocess.py:1(<module>)
    14609    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2126    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
     8806    0.001    0.000    0.001    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 type_api.py:1(<module>)
        1    0.000    0.000    0.001    0.001 context.py:164(allow_connection_pickling)
        1    0.000    0.000    0.001    0.001 trace_location.py:1(<module>)
        2    0.000    0.000    0.001    0.001 scoping.py:1(<module>)
        2    0.000    0.000    0.001    0.001 instrumentation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 subprocess.py:807(__init__)
        1    0.000    0.000    0.001    0.001 model_version_deployment_job_run_state.py:1(<module>)
        1    0.000    0.000    0.001    0.001 match.py:57(Match)
       98    0.000    0.000    0.001    0.000 decl_base.py:1361(_produce_column_copies)
       24    0.000    0.000    0.001    0.000 service_reflection.py:41(__init__)
        1    0.000    0.000    0.001    0.001 data_validator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 coercions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ext.py:1(<module>)
        1    0.000    0.000    0.001    0.001 webhook.py:1(<module>)
      500    0.000    0.000    0.001    0.000 httptools_impl.py:32(_get_status_line)
        2    0.000    0.000    0.001    0.001 pytables.py:1(<module>)
     4582    0.001    0.000    0.001    0.000 feedparser.py:77(readline)
      112    0.000    0.000    0.001    0.000 sources.py:2229(_annotation_is_complex)
     1543    0.001    0.000    0.001    0.000 enum.py:828(__setattr__)
        3    0.000    0.000    0.001    0.000 timeout.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _lil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 environment.py:1(<module>)
    15506    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.001    0.001 rolling.py:1(<module>)
       33    0.000    0.000    0.001    0.000 dataclasses.py:845(_hash_add)
      200    0.000    0.000    0.001    0.000 dataclasses.py:228(_recursive_repr)
        1    0.000    0.000    0.001    0.001 audit_log.py:65(AuditLog)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
       24    0.001    0.000    0.001    0.000 service_reflection.py:113(BuildService)
      195    0.000    0.000    0.001    0.000 elements.py:1554(proxy_set)
     1399    0.001    0.000    0.001    0.000 <frozen os>:756(encode)
        2    0.000    0.000    0.001    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dependencies_schemas.py:1(<module>)
        1    0.000    0.000    0.001    0.001 databricks_tracing_pb2.py:1(<module>)
       20    0.000    0.000    0.001    0.000 warnings.py:131(filterwarnings)
        2    0.000    0.000    0.001    0.001 run.py:1(<module>)
     1246    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
       65    0.000    0.000    0.001    0.000 properties.py:666(declarative_scan)
     1261    0.001    0.000    0.001    0.000 _generate_schema.py:2345(_get_wrapped_inner_schema)
        1    0.000    0.000    0.001    0.001 v2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 accessor.py:157(StringMethods)
      433    0.000    0.000    0.001    0.000 _utils.py:35(is_async_callable)
     1921    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
      420    0.000    0.000    0.001    0.000 typing.py:1679(<genexpr>)
        1    0.000    0.000    0.001    0.001 _pslinux.py:1656(Process)
    10817    0.001    0.000    0.001    0.000 typing.py:1381(<genexpr>)
        1    0.000    0.000    0.001    0.001 subprocess.py:1791(_execute_child)
        1    0.000    0.000    0.001    0.001 model_version_status.py:1(<module>)
      908    0.001    0.000    0.001    0.000 warnings.py:467(__enter__)
        1    0.000    0.000    0.001    0.001 array_ops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 api_implementation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
      902    0.001    0.000    0.001    0.000 <frozen codecs>:319(decode)
     5764    0.001    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 cache_key.py:1(<module>)
       33    0.000    0.000    0.001    0.000 dataclasses.py:638(_hash_fn)
       65    0.000    0.000    0.001    0.000 properties.py:732(_init_column_for_annotation)
      368    0.000    0.000    0.001    0.000 base.py:2025(replace)
        2    0.000    0.000    0.001    0.001 categorical.py:1(<module>)
      159    0.000    0.000    0.001    0.000 enum.py:1008(_find_new_)
        1    0.000    0.000    0.001    0.001 tags.py:1(<module>)
      750    0.001    0.000    0.001    0.000 _fields.py:70(_check_protected_namespaces)
        8    0.000    0.000    0.001    0.000 __init__.py:976(distribution)
        1    0.000    0.000    0.001    0.001 fromnumeric.py:1(<module>)
       65    0.000    0.000    0.001    0.000 attr.py:491(__call__)
        2    0.000    0.000    0.001    0.001 encoders.py:1(<module>)
      955    0.001    0.000    0.001    0.000 _parser.py:453(_uniq)
       64    0.000    0.000    0.001    0.000 sources.py:807(_field_is_complex)
        1    0.000    0.000    0.001    0.001 selectable.py:5095(Select)
        8    0.000    0.000    0.001    0.000 __init__.py:549(from_name)
        1    0.000    0.000    0.001    0.001 context_managers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 text_format.py:1285(Tokenizer)
     7301    0.001    0.000    0.001    0.000 {built-in method builtins.vars}
     4674    0.001    0.000    0.001    0.000 typing.py:470(__getattr__)
        2    0.000    0.000    0.001    0.001 _helpers.py:1(<module>)
      200    0.001    0.000    0.001    0.000 __init__.py:1378(_fixupParents)
        1    0.000    0.000    0.001    0.001 odds_models.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pydoc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 predictions.py:54(Predictions)
        2    0.000    0.000    0.001    0.000 __init__.py:338(select)
       50    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     7910    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
        1    0.000    0.000    0.001    0.001 otlp.py:1(<module>)
     2327    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
        1    0.000    0.000    0.001    0.001 uc_oss_rest_store.py:1(<module>)
     2540    0.001    0.000    0.001    0.000 _generate_schema.py:2838(push)
      845    0.000    0.000    0.001    0.000 introspection.py:578(_unpack_annotated)
      317    0.000    0.000    0.001    0.000 __init__.py:343(<genexpr>)
     2121    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
       30    0.000    0.000    0.001    0.000 builder.py:26(BuildMessageAndEnumDescriptors)
        1    0.000    0.000    0.001    0.001 fractions.py:1(<module>)
      657    0.001    0.000    0.001    0.000 _parser.py:316(_class_escape)
     2774    0.001    0.000    0.001    0.000 <frozen posixpath>:41(_get_sep)
     4259    0.001    0.000    0.001    0.000 inspect.py:378(isfunction)
        1    0.000    0.000    0.001    0.001 api_implementation.py:41(_CanImport)
        1    0.000    0.000    0.001    0.001 mapper.py:162(Mapper)
      620    0.000    0.000    0.001    0.000 core_schema.py:4068(definition_reference_schema)
        4    0.000    0.000    0.001    0.000 constant.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 spark_dataset.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _spark_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 apply.py:1(<module>)
     3970    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     9121    0.001    0.000    0.001    0.000 <string>:2(is_annotated)
        1    0.000    0.000    0.001    0.001 cookiejar.py:51(CookieJar)
        1    0.000    0.000    0.001    0.001 core.py:21(where)
        1    0.000    0.000    0.001    0.001 trace_pb2.py:1(<module>)
       14    0.000    0.000    0.001    0.000 mapper.py:1590(_configure_pks)
     2830    0.001    0.000    0.001    0.000 {method 'groupdict' of 're.Match' objects}
       10    0.000    0.000    0.001    0.000 logger.py:13(setup_logger)
       14    0.000    0.000    0.001    0.000 core.py:115(doc_note)
        2    0.000    0.000    0.001    0.000 connector.py:867(_make_ssl_context)
       13    0.000    0.000    0.001    0.000 enum.py:912(<listcomp>)
    74/62    0.000    0.000    0.001    0.000 shared.py:184(is_uploadfile_sequence_annotation)
     8865    0.001    0.000    0.001    0.000 {built-in method sys.intern}
     2157    0.001    0.000    0.001    0.000 {built-in method pydantic_core._pydantic_core.to_jsonable_python}
      377    0.000    0.000    0.001    0.000 utils.py:135(create_cloned_field)
      333    0.000    0.000    0.001    0.000 _model_construction.py:337(__pydantic_fields_complete__)
      631    0.001    0.000    0.001    0.000 _parser.py:231(__init__)
        2    0.000    0.000    0.001    0.000 function_base.py:1(<module>)
        2    0.000    0.000    0.001    0.000 url.py:825(make_url)
        1    0.000    0.000    0.001    0.001 _unity_catalog_utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 simple_server.py:1(<module>)
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
        2    0.000    0.000    0.001    0.000 url.py:853(_parse_url)
     1682    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      145    0.000    0.000    0.001    0.000 inspect.py:2037(_signature_bound_method)
        1    0.000    0.000    0.001    0.001 numpy_.py:1(<module>)
      629    0.000    0.000    0.001    0.000 __init__.py:253(escape)
     1185    0.001    0.000    0.001    0.000 _config.py:320(prepare_config)
       72    0.000    0.000    0.001    0.000 typing.py:2071(__init_subclass__)
        1    0.000    0.000    0.001    0.001 config.py:176(__init__)
  393/384    0.000    0.000    0.001    0.000 typing.py:1536(<listcomp>)
        1    0.000    0.000    0.001    0.001 expr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 payload.py:1(<module>)
      235    0.000    0.000    0.001    0.000 inspect.py:3023(replace)
      195    0.000    0.000    0.001    0.000 properties.py:142(__init__)
      791    0.001    0.000    0.001    0.000 typing.py:2609(overload)
        1    0.000    0.000    0.001    0.001 engines.py:1(<module>)
     3675    0.001    0.000    0.001    0.000 _fields.py:286(<genexpr>)
        1    0.000    0.000    0.001    0.001 config.py:357(configure_logging)
      598    0.000    0.000    0.001    0.000 __init__.py:107(read)
        1    0.000    0.000    0.001    0.001 default.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _strptime.py:173(__init__)
      213    0.000    0.000    0.001    0.000 docscrape.py:92(read_to_next_unindented_line)
      908    0.001    0.000    0.001    0.000 warnings.py:488(__exit__)
        1    0.000    0.000    0.001    0.001 _repr.py:1(<module>)
    11453    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 dumper.py:1(<module>)
       26    0.000    0.000    0.001    0.000 schema.py:2450(_copy)
      272    0.000    0.000    0.001    0.000 coercions.py:313(expect)
     7950    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     3036    0.001    0.000    0.001    0.000 contextlib.py:446(__exit__)
        1    0.000    0.000    0.001    0.001 bulk_persistence.py:1(<module>)
       48    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
     9839    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
     6025    0.001    0.000    0.001    0.000 _config.py:248(tail)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
       49    0.000    0.000    0.001    0.000 __init__.py:942(format)
       18    0.001    0.000    0.001    0.000 __init__.py:339(__init__)
        1    0.000    0.000    0.001    0.001 configparser.py:570(RawConfigParser)
        1    0.000    0.000    0.001    0.001 stapled.py:1(<module>)
        1    0.000    0.000    0.001    0.001 sampling.py:1(<module>)
     2710    0.001    0.000    0.001    0.000 inspect.py:3002(<genexpr>)
     1938    0.001    0.000    0.001    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.001    0.001 env_settings.py:1(<module>)
      140    0.000    0.000    0.001    0.000 inspect.py:2756(__str__)
        3    0.000    0.000    0.001    0.000 sysconfig.py:709(get_config_var)
       49    0.000    0.000    0.001    0.000 __init__.py:1595(makeRecord)
       41    0.001    0.000    0.001    0.000 dataclasses.py:1149(_add_slots)
        3    0.000    0.000    0.001    0.000 protocol.py:1(<module>)
        1    0.000    0.000    0.001    0.001 aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _tzpath.py:5(reset_tzpath)
        1    0.000    0.000    0.001    0.001 psycopg.py:1(<module>)
      555    0.000    0.000    0.001    0.000 _parser.py:86(opengroup)
      377    0.001    0.000    0.001    0.000 _generate_schema.py:2323(_get_unsupported_field_info_attributes)
        1    0.000    0.000    0.001    0.001 typing_objects.py:1(<module>)
        2    0.000    0.000    0.001    0.000 ssl.py:492(__new__)
       30    0.000    0.000    0.001    0.000 typing.py:1397(__or__)
        1    0.000    0.000    0.001    0.001 _range.py:285(RangeCaster)
        1    0.000    0.000    0.001    0.001 databricks_uc_registry_messages_pb2.py:1(<module>)
       56    0.000    0.000    0.001    0.000 deprecations.py:300(_sanitize_restructured_text)
        1    0.000    0.000    0.001    0.001 strategy_options.py:1(<module>)
      628    0.000    0.000    0.001    0.000 py39.py:32(ep_matches)
      5/4    0.000    0.000    0.001    0.000 sysconfig.py:629(get_config_vars)
       49    0.000    0.000    0.001    0.000 __init__.py:674(format)
      224    0.000    0.000    0.001    0.000 sources.py:2263(_annotation_is_complex_inner)
     3023    0.001    0.000    0.001    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
  362/359    0.001    0.000    0.001    0.000 schema.py:2425(_setup_on_memoized_fks)
     3891    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       35    0.000    0.000    0.001    0.000 registry_utils.py:125(require_prompt_registry)
        1    0.000    0.000    0.001    0.001 expanding.py:1(<module>)
     1478    0.001    0.000    0.001    0.000 _model_construction.py:56(__setitem__)
     1529    0.001    0.000    0.001    0.000 enum.py:747(__delattr__)
        2    0.000    0.000    0.001    0.000 color.py:1(<module>)
        1    0.000    0.000    0.001    0.001 locks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
        4    0.000    0.000    0.001    0.000 main.py:122(__new__)
        1    0.000    0.000    0.001    0.001 dataframe_protocol.py:1(<module>)
  690/601    0.001    0.000    0.001    0.000 _compiler.py:436(_get_literal_prefix)
        6    0.000    0.000    0.001    0.000 _docscrape.py:224(_parse_param_list)
      418    0.001    0.000    0.001    0.000 base.py:1963(_append_new_column)
       99    0.000    0.000    0.001    0.000 attr.py:589(append)
        2    0.000    0.000    0.001    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decl_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 client.py:100(MlflowAutologgingQueueingClient)
     1398    0.001    0.000    0.001    0.000 utils.py:239(get_value_or_default)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      767    0.001    0.000    0.001    0.000 _parser.py:376(_escape)
        2    0.000    0.000    0.001    0.000 headers.py:1(<module>)
       64    0.000    0.000    0.001    0.000 sources.py:286(field_is_complex)
      480    0.000    0.000    0.001    0.000 core_schema.py:1951(dict_schema)
      567    0.001    0.000    0.001    0.000 langhelpers.py:216(_unique_symbols)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rolling.py:1855(Rolling)
       49    0.000    0.000    0.001    0.000 __init__.py:292(__init__)
      383    0.000    0.000    0.001    0.000 core_schema.py:628(int_schema)
    11205    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.001    0.001 _mock_val_ser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 model_registry_pb2.py:1(<module>)
      307    0.000    0.000    0.001    0.000 decl_base.py:1272(_collect_annotation)
        1    0.000    0.000    0.001    0.001 ssl.py:745(create_default_context)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        5    0.000    0.000    0.001    0.000 langhelpers.py:2006(__init_subclass__)
       70    0.000    0.000    0.001    0.000 decl_base.py:186(_get_immediate_cls_attr)
        1    0.000    0.000    0.001    0.001 lowlevel.py:1(<module>)
      376    0.000    0.000    0.001    0.000 _generate_schema.py:2740(create_definition_reference_schema)
    11719    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.001    0.001 strategies.py:1(<module>)
     5404    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.001    0.001 custom_prompt_judge.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expanding.py:51(Expanding)
       72    0.000    0.000    0.001    0.000 config.py:811(inner)
        1    0.000    0.000    0.001    0.001 struct_pb2.py:1(<module>)
      503    0.000    0.000    0.001    0.000 core_schema.py:530(any_schema)
        1    0.000    0.000    0.001    0.001 traceback.py:713(__init__)
        1    0.000    0.000    0.001    0.001 fft.py:1(<module>)
       99    0.000    0.000    0.001    0.000 registry.py:358(append_to_list)
      275    0.000    0.000    0.001    0.000 typing.py:1731(__hash__)
     2495    0.000    0.000    0.001    0.000 typing_extensions.py:1405(is_typeddict)
      751    0.000    0.000    0.001    0.000 dataclasses.py:368(field)
      270    0.000    0.000    0.001    0.000 _decorators.py:379(<listcomp>)
      772    0.001    0.000    0.001    0.000 _namespace_utils.py:283(push)
        1    0.000    0.000    0.001    0.001 destination.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectable.py:3795(GenerativeSelect)
        1    0.000    0.000    0.001    0.001 auto_binding.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:999(source_to_code)
      940    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.001    0.001 http_exceptions.py:1(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:798(children)
      808    0.000    0.000    0.001    0.000 typing_extensions.py:1062(_get_typeddict_qualifiers)
        1    0.000    0.000    0.001    0.001 logged_model.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 roles.py:1(<module>)
        1    0.000    0.000    0.001    0.001 traceback.py:394(_extract_from_extended_frame_gen)
      325    0.001    0.000    0.001    0.000 enum.py:979(_find_data_type_)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
     5742    0.001    0.000    0.001    0.000 <string>:2(is_self)
      292    0.000    0.000    0.001    0.000 __init__.py:877(normalize)
     4297    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     2328    0.001    0.000    0.001    0.000 base.py:344(opt_manager_of_class)
     2844    0.001    0.000    0.001    0.000 inspect.py:292(isclass)
      296    0.000    0.000    0.001    0.000 inspect.py:1774(_check_class)
       66    0.000    0.000    0.001    0.000 _docscrape.py:67(read_to_condition)
        1    0.000    0.000    0.001    0.001 prompt_version.py:1(<module>)
       33    0.000    0.000    0.001    0.000 feedparser.py:100(push)
     2854    0.001    0.000    0.001    0.000 pathlib.py:94(join_parsed_parts)
        1    0.000    0.000    0.001    0.001 cyaml.py:1(<module>)
        1    0.000    0.000    0.001    0.001 networks.py:171(AnyUrl)
      664    0.000    0.000    0.001    0.000 _policybase.py:293(header_source_parse)
        1    0.000    0.000    0.001    0.001 poolmanager.py:1(<module>)
       72    0.000    0.000    0.001    0.000 config.py:491(register_option)
        1    0.000    0.000    0.001    0.001 odds.py:61(Odds)
        1    0.000    0.000    0.001    0.001 _manylinux.py:1(<module>)
       73    0.000    0.000    0.001    0.000 typing_extensions.py:794(__init_subclass__)
        2    0.000    0.000    0.001    0.000 _eventloop.py:1(<module>)
       12    0.000    0.000    0.001    0.000 service_reflection.py:73(__init__)
        1    0.000    0.000    0.001    0.001 features.py:53(FeatureEntity)
        1    0.000    0.000    0.001    0.001 databricks_logged_model_artifact_repo.py:1(<module>)
     2136    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:357(__init__)
     9235    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.001    0.001 temp_pydantic_v1_params.py:1(<module>)
    13573    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.001    0.001 lambdas.py:1(<module>)
     2556    0.001    0.000    0.001    0.000 __init__.py:114(section_pairs)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1151(_cache_bytecode)
        7    0.000    0.000    0.001    0.000 logging.py:109(get_logger)
        1    0.000    0.000    0.001    0.001 delta_dataset_source.py:1(<module>)
      373    0.000    0.000    0.001    0.000 enum.py:772(__getattr__)
     4220    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.001    0.001 runners.py:62(__exit__)
      102    0.000    0.000    0.001    0.000 registry.py:120(_stored_in_collection)
        1    0.000    0.000    0.001    0.001 _abc.py:1(<module>)
     5712    0.001    0.000    0.001    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.001    0.001 runners.py:65(close)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1156(set_data)
        1    0.000    0.000    0.001    0.001 containers.py:1(<module>)
        1    0.000    0.000    0.001    0.001 prediction_service.py:1(<module>)
      117    0.000    0.000    0.001    0.000 annotations.py:66(decorator)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
     4007    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        2    0.000    0.000    0.001    0.000 sources.py:1013(__call__)
     2157    0.001    0.000    0.001    0.000 _generate_schema.py:290(<dictcomp>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:185(_write_atomic)
     1616    0.000    0.000    0.001    0.000 copy.py:243(_keep_alive)
