         3790170 function calls (3683532 primitive calls) in 2.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      892    0.002    0.000    0.107    0.000 _generate_schema.py:2170(_annotated_schema)
        8    0.000    0.000    0.106    0.013 plugins.py:8(get_entry_points)
        8    0.000    0.000    0.106    0.013 plugins.py:4(_get_entry_points)
        8    0.000    0.000    0.106    0.013 __init__.py:1021(entry_points)
 1149/465    0.002    0.000    0.104    0.000 _generate_schema.py:1318(_union_schema)
        1    0.000    0.000    0.104    0.104 builtin.py:1(<module>)
        1    0.000    0.000    0.103    0.103 relevance_to_query.py:1(<module>)
        1    0.000    0.000    0.103    0.103 definitions.py:111(initialize_database)
        1    0.000    0.000    0.103    0.103 definitions.py:37(initialize)
        2    0.000    0.000    0.103    0.051 <string>:1(create_engine)
        2    0.000    0.000    0.103    0.051 create.py:92(create_engine)
     1449    0.001    0.000    0.102    0.000 {built-in method builtins.sorted}
   133/98    0.000    0.000    0.102    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
        8    0.000    0.000    0.102    0.013 __init__.py:473(load)
   133/98    0.063    0.000    0.101    0.001 {built-in method _imp.exec_dynamic}
     2280    0.001    0.000    0.101    0.000 __init__.py:1038(<genexpr>)
     2126    0.011    0.000    0.097    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
        8    0.000    0.000    0.094    0.012 config.py:1(<module>)
       31    0.001    0.000    0.089    0.003 utils.py:1(<module>)
        1    0.000    0.000    0.088    0.088 psycopg2.py:688(import_dbapi)
        2    0.000    0.000    0.087    0.044 prediction.py:1(<module>)
        1    0.000    0.000    0.081    0.081 extensions.py:1(<module>)
        1    0.000    0.000    0.080    0.080 _range.py:1(<module>)
        6    0.000    0.000    0.079    0.013 _range.py:292(__init__)
        6    0.079    0.013    0.079    0.013 _range.py:306(_create_ranges)
     2556    0.001    0.000    0.079    0.000 __init__.py:559(entry_points)
1261/1027    0.002    0.000    0.078    0.000 _generate_schema.py:2354(new_handler)
        2    0.000    0.000    0.077    0.039 features.py:1(<module>)
     2120    0.001    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
     2120    0.004    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
2060/2049    0.002    0.000    0.074    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        2    0.000    0.000    0.074    0.037 interfaces.py:1(<module>)
32545/31770    0.007    0.000    0.072    0.000 {method 'join' of 'str' objects}
   592614    0.042    0.000    0.072    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.071    0.071 model.py:1(<module>)
        3    0.000    0.000    0.070    0.023 generic.py:1(<module>)
      629    0.002    0.000    0.069    0.000 _parser.py:979(parse)
      202    0.000    0.000    0.069    0.000 dataclasses.py:1221(wrap)
      202    0.004    0.000    0.068    0.000 dataclasses.py:884(_process_class)
        2    0.000    0.000    0.068    0.034 span.py:1(<module>)
 1603/629    0.004    0.000    0.066    0.000 _parser.py:456(_parse_sub)
 2188/660    0.026    0.000    0.064    0.000 _parser.py:516(_parse)
     2829    0.016    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
        8    0.000    0.000    0.059    0.007 registry.py:1(<module>)
     3670    0.011    0.000    0.057    0.000 typing.py:1376(__init__)
       20    0.000    0.000    0.056    0.003 docstring_utils.py:157(decorator)
       20    0.000    0.000    0.056    0.003 docstring_utils.py:93(format_docstring)
      883    0.001    0.000    0.056    0.000 docstring_utils.py:37(_replace_all)
        1    0.000    0.000    0.055    0.055 model.py:394(Model)
       51    0.000    0.000    0.055    0.001 docstring_utils.py:24(_indent)
       63    0.000    0.000    0.055    0.001 textwrap.py:470(indent)
      496    0.055    0.000    0.055    0.000 textwrap.py:482(prefixed_lines)
      629    0.001    0.000    0.051    0.000 _compiler.py:573(_code)
       16    0.000    0.000    0.051    0.003 types.py:1(<module>)
  485/448    0.001    0.000    0.050    0.000 _generate_schema.py:386(_dict_schema)
     12/9    0.000    0.000    0.048    0.005 __init__.py:425(__getattr__)
   151408    0.033    0.000    0.048    0.000 {built-in method builtins.getattr}
      202    0.000    0.000    0.046    0.000 dataclasses.py:1204(dataclass)
        1    0.000    0.000    0.045    0.045 base_collector.py:1(<module>)
     4161    0.003    0.000    0.044    0.000 _known_annotated_metadata.py:106(expand_grouped_metadata)
      697    0.002    0.000    0.044    0.000 dataclasses.py:413(_create_fn)
  133/131    0.000    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1231(create_module)
     1914    0.003    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
  133/131    0.039    0.000    0.042    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.041    0.041 dataset_source_registry.py:1(<module>)
        1    0.000    0.000    0.041    0.041 compiler.py:1(<module>)
     2558    0.005    0.000    0.039    0.000 __init__.py:990(read_text)
        1    0.000    0.000    0.039    0.039 may_v1.py:1(<module>)
     2556    0.002    0.000    0.039    0.000 __init__.py:359(_from_text_for)
        1    0.000    0.000    0.038    0.038 v1.py:1(<module>)
      148    0.000    0.000    0.037    0.000 _model_construction.py:553(set_model_fields)
        1    0.000    0.000    0.037    0.037 frame.py:1(<module>)
      148    0.004    0.000    0.037    0.000 _fields.py:216(collect_model_fields)
 1375/999    0.001    0.000    0.036    0.000 typing.py:500(__getitem__)
        2    0.000    0.000    0.036    0.018 accessors.py:1(<module>)
     7135    0.012    0.000    0.036    0.000 typing.py:168(_type_check)
 3483/629    0.012    0.000    0.036    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.035    0.035 compute.py:1(<module>)
        3    0.000    0.000    0.035    0.012 concurrency.py:1(<module>)
     5382    0.002    0.000    0.035    0.000 __init__.py:361(<genexpr>)
        9    0.000    0.000    0.034    0.004 util.py:1(<module>)
     1753    0.001    0.000    0.034    0.000 typing.py:2236(__class_getitem__)
     1010    0.001    0.000    0.034    0.000 inspect.py:3261(signature)
     1010    0.001    0.000    0.033    0.000 inspect.py:3007(from_callable)
        1    0.000    0.000    0.033    0.033 audit_log.py:1(<module>)
1298/1011    0.005    0.000    0.032    0.000 inspect.py:2435(_signature_from_callable)
     5382    0.003    0.000    0.032    0.000 __init__.py:365(<genexpr>)
      978    0.003    0.000    0.031    0.000 typing.py:679(Union)
     1037    0.009    0.000    0.031    0.000 _schema_validator.py:22(create_schema_validator)
     1199    0.002    0.000    0.030    0.000 typing.py:2241(_class_getitem_inner)
       17    0.000    0.000    0.030    0.002 decl_api.py:831(__init_subclass__)
  597/583    0.001    0.000    0.030    0.000 base.py:1320(_set_parent_with_dispatch)
       16    0.000    0.000    0.030    0.002 decl_base.py:239(_as_declarative)
