iter	Accuracy	MultiClass
370	0.7683333333	0.7455616115
371	0.7689583333	0.745215278
372	0.7697916667	0.7446820026
373	0.769375	0.7442844791
374	0.7697916667	0.743480972
375	0.77	0.7427721517
376	0.771875	0.7420099647
377	0.773125	0.7411707623
378	0.774375	0.7404457533
379	0.775625	0.7397443847
380	0.77625	0.739061521
381	0.776875	0.7383187896
382	0.776875	0.7376682871
383	0.7783333333	0.7370232825
384	0.7795833333	0.7358854878
385	0.7808333333	0.735178607
386	0.78125	0.7346187935
387	0.7816666667	0.7339945642
388	0.7814583333	0.7333446984
389	0.7822916667	0.7327135615
390	0.78125	0.732445289
391	0.783125	0.7320600501
392	0.7827083333	0.7316266743
393	0.781875	0.7308769942
394	0.78375	0.7300795456
395	0.784375	0.7291514198
396	0.7847916667	0.7285832428
397	0.78625	0.7281674891
398	0.786875	0.727500582
399	0.786875	0.7270147494
400	0.7883333333	0.7264656758
401	0.7872916667	0.7258427592
402	0.7891666667	0.7250443455
403	0.7895833333	0.7243329332
404	0.79	0.7239397577
405	0.7891666667	0.7234500554
406	0.7904166667	0.7230000396
407	0.7902083333	0.7225539997
408	0.7920833333	0.7218127816
409	0.7920833333	0.7209675304
410	0.7927083333	0.7203216037
411	0.7933333333	0.7197146434
412	0.7925	0.7191592816
413	0.7939583333	0.718640983
414	0.7933333333	0.7180506171
415	0.7941666667	0.7174138996
416	0.79625	0.7166977207
417	0.796875	0.7161199287
418	0.796875	0.7152675013
419	0.7970833333	0.7147797675
420	0.7970833333	0.7145074047
421	0.79875	0.7137626971
422	0.7985416667	0.7132735988
423	0.7979166667	0.7128228845
424	0.7983333333	0.7121933371
425	0.800625	0.711404679
426	0.8	0.7111117532
427	0.80125	0.7105412089
428	0.8014583333	0.70991689
429	0.801875	0.7092614135
430	0.8025	0.7087981928
431	0.8020833333	0.7081675251
432	0.8020833333	0.7076793548
433	0.803125	0.7073048914
434	0.8029166667	0.7066623494
435	0.8029166667	0.706471464
436	0.804375	0.7057195953
437	0.8047916667	0.7048925671
438	0.805625	0.7042161901
439	0.8054166667	0.7036904473
440	0.8058333333	0.7030345238
441	0.8075	0.7025976737
442	0.8077083333	0.7018103634
443	0.8089583333	0.7009631157
444	0.8102083333	0.7001579917
445	0.809375	0.6995318988
446	0.809375	0.6988007649
447	0.81	0.6983973877
448	0.81	0.6979848736
449	0.8108333333	0.6972947253
450	0.811875	0.696774419
451	0.8125	0.6961551105
452	0.8145833333	0.6955311644
453	0.8135416667	0.6950180895
454	0.815	0.6945861602
455	0.814375	0.694026855
456	0.8147916667	0.6936040652
457	0.8170833333	0.6931131964
458	0.8160416667	0.6925723016
459	0.8172916667	0.6917487638
460	0.8175	0.6913746182
461	0.8179166667	0.6909056458
462	0.81875	0.6904282075
463	0.8179166667	0.6899825411
464	0.81875	0.6889503798
465	0.8189583333	0.6885296473
466	0.8210416667	0.687777384
467	0.820625	0.6874184173
468	0.8208333333	0.686716824
469	0.8210416667	0.686216678
470	0.8220833333	0.6855523438
471	0.821875	0.684832725
472	0.8225	0.6843596555
473	0.8227083333	0.6838061365
474	0.8227083333	0.683286018
475	0.8233333333	0.6825267577
476	0.8233333333	0.6817699607
477	0.8239583333	0.6812012695
478	0.8247916667	0.6808657009
479	0.825625	0.6803316649
480	0.8270833333	0.6795248345
481	0.8272916667	0.6789573211
482	0.8275	0.6785494168
483	0.82875	0.6776505539
484	0.828125	0.6773797768
485	0.829375	0.6766002179
486	0.83	0.6759848247
487	0.8302083333	0.6753210248
488	0.8316666667	0.6749221475
489	0.8308333333	0.6743500533
490	0.8310416667	0.6739857878
491	0.8322916667	0.6733282899
492	0.8320833333	0.6726098095
493	0.8329166667	0.6721917519
494	0.833125	0.6716995652
495	0.8329166667	0.6710750482
496	0.8335416667	0.6705587378
497	0.8329166667	0.6699677144
498	0.8347916667	0.6691452262
499	0.834375	0.6688606136
