home_team,away_team,home_score,away_score,target,final_score,match_status,league,home_xg,away_xg,home_possession,away_possession,home_opening_odds,home_current_odds,external_id
Crystal Palace,Nottingham Forest,1,1,1,1 - 1,Finished,Premier League,1.1,0.93,42,58,,,4813389
AVS Futebol SAD,Casa Pia AC,0,2,0,0 - 2,Finished,Ligue 1,1.24,1.5,51,49,5.0,5.0,4844170
Nottingham Forest,Brentford,3,1,2,3 - 1,Finished,Premier League,1.83,1.49,54,46,7.0,7.0,4813377
Casa Pia AC,Sporting CP,0,2,0,0 - 2,Finished,Ligue 1,0.43,2.85,33,67,28.0,28.0,4844161
Braga,Tondela,3,0,2,3 - 0,Finished,Ligue 1,1.98,0.78,68,32,,,4844162
Moreirense,Alverca,2,1,2,2 - 1,Finished,Ligue 1,0.93,0.97,58,42,,,4844166
Famalicao,Santa Clara,3,0,2,3 - 0,Finished,Ligue 1,1.01,0.36,46,54,,,4844168
Arouca,AVS Futebol SAD,3,1,2,3 - 1,Finished,Ligue 1,1.1,1.13,53,47,9.0,9.0,4844164
Estoril,Estrela da Amadora,1,1,1,1 - 1,Finished,Ligue 1,0.67,1.37,65,35,1.0,1.0,4844165
Nacional,Gil Vicente,0,2,0,0 - 2,Finished,Ligue 1,0.79,0.62,60,40,,,4844167
Aston Villa,Manchester City,1,0,2,1 - 0,Finished,Premier League,0.81,1.18,47,53,,,4813457
Fulham,Manchester United,1,1,1,1 - 1,Finished,Premier League,1.76,1.63,52,48,,,4813391
Vitoria de Guimaraes,Braga,1,1,1,1 - 1,Finished,Ligue 1,1.33,1.32,38,62,,,4844214
Brighton & Hove Albion,Brentford,2,1,2,2 - 1,Finished,Premier League,1.22,1.91,64,36,,,4813487
West Ham United,Newcastle United,3,1,2,3 - 1,Finished,Premier League,1.75,0.52,37,63,,,4813474
Wolverhampton Wanderers,Nottingham Forest,0,1,0,0 - 1,Finished,Premier League,0.91,0.74,50,50,,,4813514
FC Porto,Vitoria de Guimaraes,3,0,2,3 - 0,Finished,Ligue 1,2.68,0.54,50,50,1.0,1.0,4844169
