home_team,away_team,home_score,away_score,target,final_score,match_status,league,home_xg,away_xg,home_possession,away_possession,home_opening_odds,home_current_odds,external_id
Newcastle United,Wolverhampton Wanderers,1,0,2,1 - 0,Finished,Premier League,1.55,0.5,57,43,3.0,3.0,4813413
Union Berlin,Hoffenheim,2,4,0,2 - 4,Finished,Bundesliga,2.59,2.76,42,58,3.0,3.0,4829337
Wolfsburg,1. FC Köln,3,3,1,3 - 3,Finished,Bundesliga,1.5,1.65,56,44,3.0,3.0,4829336
FC Heidenheim,Borussia Dortmund,0,2,0,0 - 2,Finished,Bundesliga,0.4,2.76,25,75,3.0,3.0,4829339
Fulham,Leeds United,1,0,2,1 - 0,Finished,Premier League,0.85,0.79,54,46,3.0,3.0,4813411
Everton,Aston Villa,0,0,1,0 - 0,Finished,Premier League,2.08,0.54,48,52,3.0,3.0,4813410
Aston Villa,Crystal Palace,0,3,0,0 - 3,Finished,Premier League,1.14,2.65,58,42,20.0,20.0,4813395
Santa Clara,Estrela da Amadora,0,0,1,0 - 0,Finished,Ligue 1,0.98,0.14,55,45,20.0,20.0,4844192
Estoril,Santa Clara,0,1,0,0 - 1,Finished,Ligue 1,0.79,2.11,60,40,1.0,1.0,4844186
Arsenal,Nottingham Forest,3,0,2,3 - 0,Finished,Premier League,1.84,0.2,54,46,3.0,3.0,4813406
Benfica,Santa Clara,1,1,1,1 - 1,Finished,Ligue 1,1.62,1.02,78,22,2.0,2.0,4844203
Bayer Leverkusen,Eintracht Frankfurt,3,1,2,3 - 1,Finished,Bundesliga,2.11,0.65,39,61,2.0,2.0,4829332
Alverca,Tondela,1,0,2,1 - 0,Finished,Ligue 1,1.65,2.36,49,51,2.0,2.0,4844198
Rio Ave,Braga,2,2,1,2 - 2,Finished,Ligue 1,1.05,2.2,28,72,20.0,20.0,4844196
Freiburg,VfB Stuttgart,3,1,2,3 - 1,Finished,Bundesliga,1.55,0.53,46,54,3.0,3.0,4829333
Nottingham Forest,West Ham United,0,3,0,0 - 3,Finished,Premier League,0.73,2.42,58,42,20.0,20.0,4813401
Brighton & Hove Albion,Manchester City,2,1,2,2 - 1,Finished,Premier League,2.3,1.82,36,64,20.0,20.0,4813396
Borussia Dortmund,Union Berlin,3,0,2,3 - 0,Finished,Bundesliga,2.51,1.14,65,35,20.0,20.0,4829240
Tondela,Estoril,2,2,1,2 - 2,Finished,Ligue 1,2.87,1.85,51,49,20.0,20.0,4844193
Sporting CP,FC Porto,1,2,0,1 - 2,Finished,Ligue 1,1.02,1.54,59,41,32.0,32.0,4844195
Alverca,Benfica,1,2,0,1 - 2,Finished,Ligue 1,0.81,1.03,47,53,20.0,20.0,4844190
AVS Futebol SAD,Famalicao,0,1,0,0 - 1,Finished,Ligue 1,0.66,0.79,45,55,9.0,9.0,4844188
Wolfsburg,Mainz 05,1,1,1,1 - 1,Finished,Bundesliga,0.62,1.95,40,60,20.0,20.0,4829244
Liverpool,Arsenal,1,0,2,1 - 0,Finished,Premier League,0.52,0.49,53,47,20.0,20.0,4813399
Sunderland,Brentford,2,1,2,2 - 1,Finished,Premier League,1.54,1.2,54,46,7.0,7.0,4813402
Tottenham Hotspur,AFC Bournemouth,0,1,0,0 - 1,Finished,Premier League,0.19,1.59,61,39,9.0,9.0,4813403
