home_avg_rating,away_avg_rating,home_big_chances_created,away_big_chances_created,home_xg,away_xg,file_size_kb,match_id,is_finished,home_team,away_team,match_date
7.57,5.54,5,0,2.03,0.41,317.388671875,4813431,True,Manchester City,Burnley,2025-09-27T14:00:00.000Z
6.73,7.28,3,2,2.28,1.43,297.3515625,4813464,True,Wolverhampton Wanderers,Burnley,2025-10-26T14:00:00.000Z
6.59,7.34,3,1,1.79,1.58,297.9716796875,4813490,True,Leeds United,Aston Villa,2025-11-23T14:00:00.000Z
6.95,6.96,1,1,1.45,0.41,300.861328125,4813511,True,Liverpool,Sunderland,2025-12-03T20:15:00.000Z
7.43,6.37,2,0,1.29,0.46,268.130859375,4813385,True,AFC Bournemouth,Wolverhampton Wanderers,2025-08-23T14:00:00.000Z
6.75,7.25,0,1,1.52,1.31,303.7763671875,4813382,True,Manchester United,Arsenal,2025-08-17T15:30:00.000Z
6.54,7.49,1,4,0.66,2.31,287.6611328125,4813423,True,West Ham United,Crystal Palace,2025-09-20T14:00:00.000Z
7.52,6.53,1,1,0.91,1.45,303.482421875,4813445,True,Brighton & Hove Albion,Newcastle United,2025-10-18T14:00:00.000Z
